Author,Quotte
Carl Sagan,"We live in a society exquisitely dependent on science.
and technology, in which hardly anyone knows anything about science and technology."
Robert A. Heinlein,Everything is theoretically impossible until it is done."
Isaac Asimov,"The saddest aspect of life right now 
is that science gathers knowledge faster than society gathers wisdom."
Albert Einstein,"If we knew what it was we were doing, it would not be called research, would it "
Hippocrates,"There are in fact two things, science and opinion; 
the former begets knowledge, the latter ignorance. "
Kurt Vonnegut,"Science is magic that works." 
Thomas Edison,"Until man duplicates a blade of grass, 
nature can laugh at his so-called scientific knowledge.  "
Galileo Galilei,"In questions of science, 
the authority of a thousand is not worth the humble reasoning of a single individual."
Erwin Schrdinger,"The scientist only imposes two things, namely truth and sincerity, 
imposes them upon himself and upon other scientists. "
Nikola Tesla,"The day science begins to study non-physical phenomena, 
it will make more progress in one decade than in all the previous centuries of its existence. "

